Subject_ID	Expected_error	Avg_Qual_Score	Length
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1648/ccs	0.59	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1680/ccs	0.91	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1710/ccs	0.13	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1830/ccs	0.094	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1835/ccs	0.9	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1920/ccs	0.6	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1946/ccs	0.16	41	1428
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/1955/ccs	0.4	41	1440
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2015/ccs	0.55	41	1504
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2028/ccs	0.6	41	1517
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2049/ccs	0.096	41	1471
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2053/ccs	0.5	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2076/ccs	0.18	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2096/ccs	0.14	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2146/ccs	0.11	41	1446
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2149/ccs	0.42	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2152/ccs	0.98	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2173/ccs	0.9	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2201/ccs	0.61	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2226/ccs	0.63	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2215/ccs	0.6	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2259/ccs	0.56	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2286/ccs	0.28	41	1481
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2304/ccs	0.53	41	1499
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2322/ccs	0.62	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2399/ccs	0.44	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2405/ccs	1.1	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2438/ccs	0.17	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2451/ccs	0.52	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2521/ccs	0.11	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2551/ccs	0.74	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2565/ccs	0.58	41	1495
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2592/ccs	0.11	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2605/ccs	0.18	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2611/ccs	0.65	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2619/ccs	0.54	41	1534
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2708/ccs	0.79	41	1532
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2712/ccs	0.11	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2818/ccs	0.78	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2830/ccs	0.55	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2838/ccs	0.48	41	1445
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2863/ccs	0.6	41	1467
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2879/ccs	0.33	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2931/ccs	0.35	41	1472
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2952/ccs	0.6	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/2964/ccs	0.52	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3007/ccs	0.11	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3008/ccs	0.38	41	1506
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3009/ccs	0.3	41	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3014/ccs	0.11	41	1462
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3024/ccs	0.12	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3072/ccs	0.15	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3081/ccs	0.74	41	1490
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3083/ccs	0.21	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3094/ccs	0.8	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3095/ccs	0.097	41	1498
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3105/ccs	0.75	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3133/ccs	0.5	41	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3144/ccs	0.22	41	1469
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3229/ccs	0.19	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3255/ccs	0.1	41	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3270/ccs	0.59	41	1504
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3261/ccs	0.18	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3324/ccs	1	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3358/ccs	1	41	1461
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3406/ccs	0.34	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3410/ccs	0.11	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3427/ccs	0.23	41	1483
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3450/ccs	0.54	41	1470
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3506/ccs	0.58	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3508/ccs	0.46	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3559/ccs	0.31	41	1448
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3566/ccs	0.32	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3569/ccs	0.18	41	1504
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3593/ccs	0.58	41	1470
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3601/ccs	0.1	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3603/ccs	0.15	41	1469
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3612/ccs	0.25	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3619/ccs	0.1	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3706/ccs	0.33	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3761/ccs	0.64	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3816/ccs	0.41	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3824/ccs	0.52	41	1519
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3861/ccs	0.59	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3865/ccs	1.2	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3868/ccs	0.67	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3896/ccs	0.35	41	1532
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3912/ccs	0.095	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3909/ccs	0.29	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3922/ccs	0.13	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3956/ccs	0.6	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/3988/ccs	0.76	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4005/ccs	0.97	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4007/ccs	0.27	41	1464
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4031/ccs	0.51	41	1461
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4064/ccs	0.67	41	1500
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4164/ccs	0.35	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4178/ccs	0.37	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4191/ccs	0.36	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4194/ccs	0.46	41	1516
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4202/ccs	1.1	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4203/ccs	0.29	41	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4221/ccs	0.86	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4278/ccs	0.49	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4307/ccs	1.3	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4331/ccs	0.17	41	1522
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4364/ccs	0.097	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4369/ccs	0.21	41	1465
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4389/ccs	0.44	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4393/ccs	0.12	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4437/ccs	0.37	41	1483
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4471/ccs	0.19	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4489/ccs	0.35	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4510/ccs	0.095	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4533/ccs	0.24	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4549/ccs	0.72	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4613/ccs	0.18	41	1522
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4615/ccs	0.79	41	1487
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4622/ccs	0.11	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4629/ccs	0.8	41	1490
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4659/ccs	0.26	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4702/ccs	0.52	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4713/ccs	0.37	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4715/ccs	0.29	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4754/ccs	0.3	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4758/ccs	0.61	41	1461
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4781/ccs	0.11	41	1468
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4799/ccs	0.45	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4802/ccs	0.22	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4817/ccs	0.1	41	1483
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4820/ccs	0.33	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4821/ccs	0.95	41	1494
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4837/ccs	0.094	41	1479
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4865/ccs	0.37	41	1534
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4956/ccs	0.28	41	1471
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4916/ccs	0.73	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/4976/ccs	0.74	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5003/ccs	0.12	41	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5105/ccs	0.55	41	1504
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5112/ccs	0.73	41	1532
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5132/ccs	0.15	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5177/ccs	0.68	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5180/ccs	0.46	41	1521
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5326/ccs	0.56	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5346/ccs	0.77	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5356/ccs	0.094	42	1489
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5422/ccs	0.43	41	1461
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5428/ccs	0.52	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5463/ccs	0.82	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5474/ccs	0.8	41	1464
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5500/ccs	0.38	41	1484
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5504/ccs	0.16	41	1531
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5509/ccs	0.63	41	1427
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5515/ccs	0.11	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5519/ccs	0.42	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5540/ccs	0.51	41	1484
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5581/ccs	0.41	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5583/ccs	0.28	41	1453
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5610/ccs	0.56	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5651/ccs	0.5	41	1498
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5667/ccs	0.24	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5668/ccs	0.1	41	1445
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5671/ccs	0.46	41	1494
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5700/ccs	0.63	41	1473
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5711/ccs	0.29	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5713/ccs	0.1	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5715/ccs	0.83	41	1486
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5783/ccs	0.15	41	1470
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5826/ccs	0.44	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5851/ccs	0.25	41	1462
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5864/ccs	0.17	41	1511
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5865/ccs	0.68	41	1449
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5871/ccs	0.76	41	1520
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5945/ccs	0.11	41	1509
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5959/ccs	0.48	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5989/ccs	0.8	41	1495
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/5994/ccs	0.13	41	1510
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6002/ccs	0.47	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6059/ccs	0.15	41	1518
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6111/ccs	0.3	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6130/ccs	0.21	41	1497
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6140/ccs	0.39	41	1513
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6198/ccs	0.35	41	1425
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6213/ccs	0.51	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6218/ccs	0.3	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6228/ccs	0.32	41	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6288/ccs	0.86	41	1532
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6293/ccs	0.41	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6306/ccs	0.13	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6329/ccs	1	41	1503
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6345/ccs	0.51	41	1508
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6365/ccs	0.49	41	1492
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6467/ccs	0.11	41	1472
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6487/ccs	0.11	41	1488
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6491/ccs	0.72	41	1505
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6546/ccs	0.27	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6564/ccs	0.44	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6575/ccs	0.18	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6577/ccs	0.093	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6648/ccs	0.5	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6660/ccs	0.63	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6681/ccs	0.34	41	1533
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6722/ccs	0.16	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6724/ccs	0.64	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6745/ccs	0.85	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6747/ccs	0.095	42	1501
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6758/ccs	0.093	41	1463
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6762/ccs	0.61	41	1496
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6827/ccs	0.81	41	1446
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6830/ccs	0.1	41	1495
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6832/ccs	0.87	41	1485
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6875/ccs	0.59	41	1507
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6890/ccs	0.91	41	1512
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6896/ccs	0.21	41	1502
m150214_155132_42142_c100769622550000001823165407071525_s1_p0/6908/ccs	0.93	41	1498
